#### Simulations (10)
# Process.x #1
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
11.0 10.0
11.0 11.2
12.0 11.2
12.0 12.4
13.0 12.4
13.0 13.6
14.0 13.6
14.0 14.8
15.0 14.8
15.0 16.0
16.0 16.0
16.0 17.2
17.0 17.2
17.0 18.4
18.0 18.4
18.0 19.6
19.0 19.6
19.0 20.8
20.0 20.8
20.0044 22.0
20.0044 22.0
21.0 22.0
21.0 23.4
22.0 23.4
22.0 24.8
23.0 24.8
23.0 26.2
24.0 26.2
24.0 27.6
25.0 27.6
25.0 29.0
26.0 29.0
26.0 30.4
27.0 30.4
27.0 31.8
28.0 31.8
28.0 33.2
29.0 33.2
29.0 34.6
30.0 34.6
30.0 36.0
31.0 36.0
# Process.x #8
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
11.0 10.0
11.0 11.2
12.0 11.2
12.0 12.4
13.0 12.4
13.0 13.6
14.0 13.6
14.0 14.8
15.0 14.8
15.0 16.0
16.0 16.0
16.0 17.2
17.0 17.2
17.0 18.4
18.0 18.4
18.0 19.6
19.0 19.6
19.0 20.8
20.0 20.8
20.0 22.0
21.0 22.0
21.0 23.4
22.0 23.4
22.0 24.8
23.0 24.8
23.0 26.2
24.0 26.2
24.0 27.6
25.0 27.6
25.0 29.0
26.0 29.0
26.0 30.4
27.0 30.4
27.0 31.8
28.0 31.8
28.0 33.2
29.0 33.2
29.0 34.6
30.0 34.6
30.0 36.0
31.0 36.0
# Process.x #9
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
11.0 10.0
11.0 11.2
12.0 11.2
12.0 12.4
13.0 12.4
13.0 13.6
14.0 13.6
14.0 14.8
15.0 14.8
15.0 16.0
16.0 16.0
16.0 17.2
17.0 17.2
17.0 18.4
18.0 18.4
18.0 19.6
19.0 19.6
19.0 20.8
20.0 20.8
20.0 22.0
21.0 22.0
21.0 23.4
22.0 23.4
22.0 24.8
23.0 24.8
23.0 26.2
24.0 26.2
24.0 27.6
25.0 27.6
25.0 29.0
26.0 29.0
26.0 30.4
27.0 30.4
27.0 31.8
28.0 31.8
28.0 33.2
29.0 33.2
29.0 34.6
30.0 34.6
30.0 36.0
31.0 36.0
# Process.x #10
0.0 0.0
0.0 0.0
1.0 0.0
1.0 1.0
2.0 1.0
2.0 2.0
3.0 2.0
3.0 3.0
4.0 3.0
4.0 4.0
5.0 4.0
5.0 5.0
6.0 5.0
6.0 6.0
7.0 6.0
7.0 7.0
8.0 7.0
8.0 8.0
9.0 8.0
9.0 9.0
10.0 9.0
10.0 10.0
11.0 10.0
11.0 11.2
12.0 11.2
12.0 12.4
13.0 12.4
13.0 13.6
14.0 13.6
14.0 14.8
15.0 14.8
15.0 16.0
16.0 16.0
16.0 17.2
17.0 17.2
17.0 18.4
18.0 18.4
18.0 19.6
19.0 19.6
19.0 20.8
20.0 20.8
20.0 22.0
21.0 22.0
21.0 23.4
22.0 23.4
22.0 24.8
23.0 24.8
23.0 26.2
24.0 26.2
24.0 27.6
25.0 27.6
25.0 29.0
26.0 29.0
26.0 30.4
27.0 30.4
27.0 31.8
28.0 31.8
28.0 33.2
29.0 33.2
29.0 34.6
30.0 34.6
30.0 36.0
31.0 36.0
